fold,lambda,mae,ramp_mae,peak_ramp,epochs,elapsed_sec
Fold_1,0.0,0.310153,0.220267,3.669161,0,0
Fold_1,0.3,0.309604,0.220408,3.635123,1,117.3
Fold_1,1.0,0.306584,0.21724,3.690241,1,158.2
Fold_2,0.0,0.275017,0.195619,3.228927,0,0
Fold_2,0.3,0.274634,0.194676,3.192168,1,117.9
Fold_2,1.0,0.273943,0.193794,3.190171,1,209.6
Fold_3,0.0,0.268998,0.18781,2.378243,0,0
Fold_3,0.3,0.268295,0.185954,2.352028,1,231.0
Fold_3,1.0,0.267261,0.186215,2.360329,1,266.2
Fold_4,0.0,0.269538,0.179961,3.671317,0,0
Fold_4,0.3,0.268555,0.179303,3.690339,1,299.4
Fold_4,1.0,0.269244,0.181114,3.720524,1,147.7
Fold_5,0.0,0.263865,0.175083,4.671241,0,0
Fold_5,0.3,0.261886,0.173219,4.718677,1,206.3
Fold_5,1.0,0.260926,0.174516,4.701761,1,194.1
Fold_6,0.0,0.272666,0.158735,2.681687,0,0
Fold_6,0.3,0.268433,0.162772,2.761965,1,266.0
Fold_6,1.0,0.268167,0.158481,2.7015,1,212.9
