timestamp,total_load_mw,voltage_kv,current_a,frequency_hz,temperature_c
2025-01-01 00:00:00,74.893,33.314,1442.13,49.981,16.9
2025-01-01 00:15:00,73.129,33.032,1420.19,49.987,16.66
2025-01-01 00:30:00,73.858,33.235,1425.61,50.001,16.43
2025-01-01 00:45:00,73.794,33.273,1422.74,50.004,16.18
2025-01-01 01:00:00,69.126,32.76,1353.62,50.025,15.93
2025-01-01 01:15:00,72.987,33.133,1413.11,50.014,15.68
2025-01-01 01:30:00,71.561,33.06,1388.56,49.974,15.42
2025-01-01 01:45:00,71.979,33.021,1398.34,50.007,15.16
2025-01-01 02:00:00,73.475,32.582,1446.63,49.982,14.9
2025-01-01 02:15:00,73.926,33.464,1417.14,50.011,14.63
2025-01-01 02:30:00,71.23,33.312,1371.7,49.983,14.37
2025-01-01 02:45:00,69.637,33.075,1350.65,50.021,14.12
2025-01-01 03:00:00,66.235,33.248,1277.96,49.993,13.86
2025-01-01 03:15:00,71.857,32.986,1397.47,49.992,13.61
2025-01-01 03:30:00,73.269,33.025,1423.24,49.973,13.36
2025-01-01 03:45:00,70.751,33.39,1359.3,49.978,13.13
2025-01-01 04:00:00,71.425,33.144,1382.45,49.986,12.9
2025-01-01 04:15:00,71.106,33.591,1357.93,50.009,12.67
2025-01-01 04:30:00,72.001,33.534,1377.36,50.012,12.46
2025-01-01 04:45:00,75.212,33.185,1453.93,50.014,12.26
2025-01-01 05:00:00,72.061,33.066,1398.04,49.994,12.07
2025-01-01 05:15:00,78.756,33.408,1512.27,50.032,11.89
2025-01-01 05:30:00,77.327,33.23,1492.8,50.0,11.72
2025-01-01 05:45:00,80.765,33.265,1557.54,49.985,11.57
2025-01-01 06:00:00,72.701,33.43,1395.09,49.993,11.43
2025-01-01 06:15:00,77.029,33.084,1493.61,49.993,11.31
2025-01-01 06:30:00,73.888,33.1,1432.0,50.042,11.2
2025-01-01 06:45:00,79.323,33.554,1516.5,49.985,11.11
2025-01-01 07:00:00,87.717,33.209,1694.47,50.01,11.03
2025-01-01 07:15:00,83.594,33.494,1601.04,50.008,10.97
2025-01-01 07:30:00,86.464,33.294,1665.98,49.986,10.93
2025-01-01 07:45:00,81.953,33.066,1589.95,49.999,10.9
2025-01-01 08:00:00,87.243,33.329,1679.23,50.028,10.9
2025-01-01 08:15:00,89.684,33.293,1728.07,49.993,10.9
2025-01-01 08:30:00,84.255,33.1,1632.91,50.008,10.93
2025-01-01 08:45:00,85.04,33.209,1642.74,50.025,10.97
2025-01-01 09:00:00,81.759,33.25,1577.4,49.988,11.03
2025-01-01 09:15:00,80.888,33.476,1550.03,49.986,11.11
2025-01-01 09:30:00,84.287,33.297,1623.86,50.01,11.2
2025-01-01 09:45:00,84.713,33.324,1630.75,50.006,11.31
2025-01-01 10:00:00,78.408,33.066,1521.16,49.981,11.43
2025-01-01 10:15:00,84.144,32.98,1636.7,50.022,11.57
2025-01-01 10:30:00,81.007,33.012,1574.14,50.006,11.72
2025-01-01 10:45:00,75.699,33.089,1467.56,49.992,11.89
2025-01-01 11:00:00,78.514,33.097,1521.8,49.937,12.07
2025-01-01 11:15:00,76.902,33.057,1492.37,50.01,12.26
2025-01-01 11:30:00,77.74,32.679,1526.06,50.002,12.46
2025-01-01 11:45:00,78.416,32.977,1525.42,50.001,12.67
2025-01-01 12:00:00,77.55,32.916,1511.39,49.982,12.9
2025-01-01 12:15:00,76.933,32.905,1499.83,49.992,13.13
2025-01-01 12:30:00,75.24,32.908,1466.71,49.995,13.36
2025-01-01 12:45:00,74.869,32.936,1458.22,50.015,13.61
2025-01-01 13:00:00,78.332,32.777,1533.09,49.981,13.86
2025-01-01 13:15:00,76.23,32.895,1486.6,50.011,14.12
2025-01-01 13:30:00,75.108,33.003,1459.92,49.985,14.37
2025-01-01 13:45:00,80.476,33.018,1563.53,50.013,14.63
2025-01-01 14:00:00,73.584,33.26,1419.25,49.968,14.9
2025-01-01 14:15:00,76.823,32.691,1507.49,50.0,15.16
2025-01-01 14:30:00,72.875,33.148,1410.3,49.991,15.42
2025-01-01 14:45:00,75.61,32.926,1473.11,50.021,15.68
2025-01-01 15:00:00,76.286,32.51,1505.29,49.991,15.93
2025-01-01 15:15:00,75.564,32.535,1489.92,49.979,16.18
2025-01-01 15:30:00,75.96,32.589,1495.24,49.999,16.43
2025-01-01 15:45:00,78.541,32.515,1549.55,50.004,16.66
2025-01-01 16:00:00,79.641,32.681,1563.3,50.006,16.9
2025-01-01 16:15:00,79.396,33.09,1539.23,49.985,17.12
2025-01-01 16:30:00,75.702,32.808,1480.22,49.992,17.33
2025-01-01 16:45:00,78.232,32.644,1537.37,49.999,17.53
2025-01-01 17:00:00,78.566,32.683,1542.11,49.999,17.72
2025-01-01 17:15:00,80.201,32.441,1585.92,50.0,17.9
2025-01-01 17:30:00,82.273,32.75,1611.53,50.057,18.07
2025-01-01 17:45:00,83.152,32.448,1643.93,49.996,18.22
2025-01-01 18:00:00,85.094,32.78,1665.29,50.027,18.36
2025-01-01 18:15:00,91.085,32.516,1796.96,50.007,18.48
2025-01-01 18:30:00,87.902,32.809,1718.69,50.002,18.59
2025-01-01 18:45:00,91.218,32.735,1787.58,49.999,18.68
2025-01-01 19:00:00,91.09,32.76,1783.72,50.016,18.76
2025-01-01 19:15:00,96.031,32.981,1867.85,50.004,18.82
2025-01-01 19:30:00,95.814,32.892,1868.67,50.009,18.86
2025-01-01 19:45:00,90.418,32.399,1790.27,50.001,18.89
2025-01-01 20:00:00,89.678,32.423,1774.33,50.01,18.9
2025-01-01 20:15:00,92.911,32.556,1830.78,49.97,18.89
2025-01-01 20:30:00,90.741,33.017,1763.02,49.984,18.86
2025-01-01 20:45:00,94.933,32.454,1876.51,49.984,18.82
2025-01-01 21:00:00,89.037,32.544,1755.08,50.001,18.76
2025-01-01 21:15:00,85.119,32.895,1659.94,50.031,18.68
2025-01-01 21:30:00,80.691,32.556,1590.01,50.025,18.59
2025-01-01 21:45:00,79.839,32.698,1566.33,49.969,18.48
2025-01-01 22:00:00,79.71,32.584,1569.31,50.023,18.36
2025-01-01 22:15:00,77.233,32.843,1508.55,49.961,18.22
2025-01-01 22:30:00,76.973,32.81,1504.98,49.979,18.07
2025-01-01 22:45:00,79.494,33.01,1544.85,50.012,17.9
2025-01-01 23:00:00,82.46,32.521,1626.56,50.003,17.72
2025-01-01 23:15:00,75.015,32.884,1463.37,50.025,17.53
2025-01-01 23:30:00,75.76,33.178,1464.82,49.996,17.33
2025-01-01 23:45:00,72.046,32.794,1409.34,50.004,17.12
2025-01-02 00:00:00,76.664,32.832,1497.9,50.001,16.83
2025-01-02 00:15:00,75.913,33.146,1469.21,50.036,16.6
2025-01-02 00:30:00,75.264,33.239,1452.57,49.999,16.36
2025-01-02 00:45:00,75.617,32.981,1470.82,49.935,16.12
2025-01-02 01:00:00,73.086,32.768,1430.79,50.013,15.87
2025-01-02 01:15:00,74.711,33.034,1450.83,50.02,15.61
2025-01-02 01:30:00,74.56,33.104,1444.83,49.988,15.36
2025-01-02 01:45:00,74.462,33.383,1430.89,50.006,15.09
2025-01-02 02:00:00,77.148,33.158,1492.58,50.019,14.83
2025-01-02 02:15:00,71.913,33.335,1383.88,50.011,14.57
2025-01-02 02:30:00,71.068,33.027,1380.41,49.988,14.31
2025-01-02 02:45:00,68.461,33.047,1328.94,50.012,14.05
2025-01-02 03:00:00,72.382,33.178,1399.52,50.017,13.8
2025-01-02 03:15:00,69.196,33.066,1342.43,50.055,13.55
2025-01-02 03:30:00,73.473,33.012,1427.75,49.991,13.3
2025-01-02 03:45:00,69.601,33.236,1343.4,50.02,13.06
2025-01-02 04:00:00,67.761,33.509,1297.22,49.959,12.83
2025-01-02 04:15:00,70.736,33.307,1362.4,49.98,12.61
2025-01-02 04:30:00,73.892,33.187,1428.34,50.002,12.4
2025-01-02 04:45:00,71.914,33.502,1377.04,49.981,12.2
2025-01-02 05:00:00,78.393,33.543,1499.27,49.995,12.0
2025-01-02 05:15:00,77.419,33.423,1485.94,49.985,11.83
2025-01-02 05:30:00,74.734,33.174,1445.16,49.994,11.66
2025-01-02 05:45:00,73.84,33.198,1426.85,50.01,11.51
2025-01-02 06:00:00,76.027,32.965,1479.5,50.02,11.37
2025-01-02 06:15:00,77.467,33.518,1482.63,49.985,11.25
2025-01-02 06:30:00,77.354,33.39,1486.13,49.999,11.14
2025-01-02 06:45:00,81.58,33.35,1569.22,50.009,11.05
2025-01-02 07:00:00,82.707,33.107,1602.58,49.974,10.97
2025-01-02 07:15:00,85.816,33.237,1656.31,49.98,10.91
2025-01-02 07:30:00,84.949,33.529,1625.31,50.029,10.87
2025-01-02 07:45:00,82.585,33.11,1600.08,50.009,10.84
2025-01-02 08:00:00,87.962,32.938,1713.16,49.98,10.83
2025-01-02 08:15:00,87.332,32.984,1698.53,50.013,10.84
2025-01-02 08:30:00,85.201,33.054,1653.55,49.986,10.87
2025-01-02 08:45:00,89.77,32.64,1764.3,49.99,10.91
2025-01-02 09:00:00,86.587,33.272,1669.46,50.007,10.97
2025-01-02 09:15:00,84.533,33.044,1641.08,50.02,11.05
2025-01-02 09:30:00,88.75,33.128,1718.6,50.025,11.14
2025-01-02 09:45:00,81.884,33.498,1568.12,49.999,11.25
2025-01-02 10:00:00,84.133,33.19,1626.15,50.033,11.37
2025-01-02 10:15:00,80.939,32.988,1573.98,50.007,11.51
2025-01-02 10:30:00,77.598,33.191,1499.76,50.031,11.66
2025-01-02 10:45:00,78.861,33.081,1529.27,50.009,11.83
2025-01-02 11:00:00,76.277,33.077,1479.31,49.994,12.0
2025-01-02 11:15:00,74.394,32.673,1460.63,50.016,12.2
2025-01-02 11:30:00,74.594,33.107,1445.37,50.022,12.4
2025-01-02 11:45:00,72.576,32.817,1418.68,49.995,12.61
2025-01-02 12:00:00,76.384,32.972,1486.15,50.002,12.83
2025-01-02 12:15:00,78.292,33.132,1515.89,49.997,13.06
2025-01-02 12:30:00,78.547,32.659,1542.83,50.009,13.3
2025-01-02 12:45:00,71.633,32.853,1398.72,50.008,13.55
2025-01-02 13:00:00,73.479,32.916,1432.02,49.995,13.8
2025-01-02 13:15:00,75.614,32.929,1473.07,50.004,14.05
2025-01-02 13:30:00,74.795,32.571,1473.11,49.993,14.31
2025-01-02 13:45:00,70.406,32.723,1380.23,49.988,14.57
2025-01-02 14:00:00,72.566,32.859,1416.7,50.023,14.83
2025-01-02 14:15:00,76.001,32.925,1480.78,50.02,15.09
2025-01-02 14:30:00,75.455,32.724,1479.17,50.027,15.36
2025-01-02 14:45:00,73.165,32.941,1424.82,50.004,15.61
2025-01-02 15:00:00,74.052,32.967,1440.95,49.995,15.87
2025-01-02 15:15:00,74.278,32.778,1453.7,49.999,16.12
2025-01-02 15:30:00,75.469,32.906,1471.26,49.973,16.36
2025-01-02 15:45:00,78.371,32.463,1548.67,50.021,16.6
2025-01-02 16:00:00,80.428,32.51,1587.05,49.964,16.83
2025-01-02 16:15:00,79.311,32.345,1572.98,50.001,17.06
2025-01-02 16:30:00,78.866,32.298,1566.44,50.016,17.27
2025-01-02 16:45:00,81.428,32.385,1612.95,49.991,17.47
2025-01-02 17:00:00,80.954,32.751,1585.67,49.955,17.66
2025-01-02 17:15:00,82.559,32.907,1609.46,50.015,17.84
2025-01-02 17:30:00,83.809,32.823,1637.98,49.99,18.01
2025-01-02 17:45:00,84.067,33.031,1632.66,50.024,18.16
2025-01-02 18:00:00,87.416,33.026,1697.96,50.016,18.3
2025-01-02 18:15:00,87.627,32.521,1728.51,49.997,18.42
2025-01-02 18:30:00,92.044,32.524,1815.49,50.011,18.53
2025-01-02 18:45:00,95.9,33.148,1855.91,50.018,18.62
2025-01-02 19:00:00,93.868,32.466,1854.77,49.974,18.7
2025-01-02 19:15:00,99.258,32.344,1968.63,50.03,18.76
2025-01-02 19:30:00,86.726,32.703,1701.2,49.987,18.8
2025-01-02 19:45:00,95.229,32.817,1861.53,50.003,18.82
2025-01-02 20:00:00,89.828,33.003,1746.03,50.025,18.83
2025-01-02 20:15:00,89.597,32.469,1770.22,49.973,18.82
2025-01-02 20:30:00,89.362,32.885,1743.21,50.01,18.8
2025-01-02 20:45:00,92.055,32.911,1794.32,50.014,18.76
2025-01-02 21:00:00,86.314,32.873,1684.37,50.029,18.7
2025-01-02 21:15:00,84.676,33.167,1637.76,50.041,18.62
2025-01-02 21:30:00,85.807,32.696,1683.52,49.993,18.53
2025-01-02 21:45:00,80.026,32.891,1560.8,50.009,18.42
2025-01-02 22:00:00,82.464,32.779,1613.85,50.008,18.3
2025-01-02 22:15:00,79.271,32.788,1550.95,50.005,18.16
2025-01-02 22:30:00,77.318,32.845,1510.12,50.013,18.01
2025-01-02 22:45:00,76.918,33.07,1492.07,49.994,17.84
2025-01-02 23:00:00,75.234,33.042,1460.62,49.991,17.66
2025-01-02 23:15:00,78.959,33.307,1520.78,50.006,17.47
2025-01-02 23:30:00,75.252,32.867,1468.79,50.018,17.27
2025-01-02 23:45:00,76.046,33.117,1473.05,49.994,17.06
2025-01-03 00:00:00,75.003,32.687,1472.0,49.993,16.77
2025-01-03 00:15:00,74.199,33.352,1427.16,49.952,16.54
2025-01-03 00:30:00,73.548,33.239,1419.46,49.988,16.3
2025-01-03 00:45:00,75.706,33.158,1464.69,49.995,16.06
2025-01-03 01:00:00,75.187,33.268,1449.8,50.012,15.81
2025-01-03 01:15:00,73.855,33.022,1434.74,50.04,15.55
2025-01-03 01:30:00,77.981,33.328,1500.96,50.024,15.3
2025-01-03 01:45:00,72.395,33.094,1403.31,50.004,15.03
2025-01-03 02:00:00,69.686,33.195,1346.7,50.003,14.77
2025-01-03 02:15:00,66.911,32.963,1302.16,49.964,14.51
2025-01-03 02:30:00,69.709,33.111,1350.56,49.986,14.25
2025-01-03 02:45:00,70.97,33.524,1358.03,49.984,13.99
2025-01-03 03:00:00,70.993,33.32,1366.8,49.983,13.74
2025-01-03 03:15:00,72.861,33.185,1408.48,50.003,13.49
2025-01-03 03:30:00,67.292,33.357,1294.12,49.999,13.24
2025-01-03 03:45:00,74.273,32.997,1443.95,50.004,13.0
2025-01-03 04:00:00,67.35,33.695,1282.26,50.024,12.77
2025-01-03 04:15:00,79.961,33.348,1538.17,49.983,12.55
2025-01-03 04:30:00,74.999,33.581,1432.72,49.991,12.34
2025-01-03 04:45:00,71.526,33.508,1369.34,50.006,12.14
2025-01-03 05:00:00,75.749,33.185,1464.32,50.004,11.94
2025-01-03 05:15:00,73.516,33.398,1412.07,50.016,11.77
